name,price,status,shipping,free_returns,items_sold
"Lipton Cold Brew Iced Black Tea Family Size , Caffeinated (2 Pack) Exp 10/23",1399,Brand New,0,False,
"Pure Leaf Sweet Iced Tea (16.9 oz., 18 pk.)",2500,Brand New,0,True,
Lipton ICED TEA 24 Family Size Tea Bags ,988,Brand New,3,True,
"Pure Leaf Sweet Iced Tea (16.9 Oz., 18 Pk.)",3399,Brand New,3,False,
"Chinese Black Tea - 2 Pounds - Loose Leaf, Blending, Flavored, Iced, Hot, Sweet",2062,Brand New,3,True,
Organic Elderberry Fruit Herbal Tea Good Iced Tea Loose Leaf Tea  4  OZ,1200,Brand New,3,True,94
Organic Yarrow Flowers,699,Brand New,3,False,
Tetley Black Tea Iced Tea Blend Family Size 24 Round Tea Bags,1299,Brand New,3,False,
Lipton Iced Tea 48 Bags,2399,Brand New,3,True,
Lipton Iced Herbal Tea ~ 2oz ~ Strawberry Watermelon ~ 16 bags ~ Lot of 2,1720,Brand New,3,True,
AriZona Arnold Palmer Half and Half Iced Tea and Lemonade Drink Mix 73 oz.,1800,Brand New,3,False,
Green Tea Fine Cut all Natural Asian Tea Blend Hot Tea Iced Tea or in Smoothies,397,Brand New,3,True,
"Tea Peach, Mango, Apricot Fruity Hot Iced Loose Leaf Aged Black Tea CB",497,Brand New,3,True,
Shop on eBay,2000,Brand New,,False,
Harney and Sons Iced Tea - Watermelon Mint - 15 Count,2465,Brand New,395,False,
"Diet Iced Tea Mix, Lemon, Makes 20 Quarts (Pack of 6)",7004,Brand New,3,True,
"Masala Chai, Caffeinated, Spicy, Smooth, Enjoy Hot or Iced, Loose Leaf Tea",1099,Brand New,3,False,
Nestea Tea Instant Unsweetened Mix Powder Iced Drink Nestle 200g Nosugar 6X200g,12000,Brand New,0,False,
New ListingIced Tea Mix Variety Pack Sugarfree Green Red Tea Lemonade 44 Packets,1626,Brand New,3,True,
"Peach Fruit Tea, Decaffeinated, Delicious to Enjoy Hot and Iced, Loose Leaf Tea",998,Brand New,3,False,
"1 Bag Cha Thai Tea Leaves for Thai Ice Tea, 13 oz. ( New )",1199,Brand New,3,False,24
HEB Half & Half Iced Tea And Lemonade 12 K Cups Brewing H-E-B,1299,Brand New,3,False,
Lipton Southern Sweet Iced Tea 22 to 132 Count Keurig K cups Pick Size FREE SHIP,2599,Brand New,0,False,70
Crystal Light LEMON Iced Tea Drink mix - 2 quart Pitcher Packs - makes 32 qts,1395,Brand New,3,True,196
