name,price,status,shipping,free_returns,items_sold
Funko Pop! Movies #1059 Space Jam A New Legacy LeBron James Vinyl Figure,846,Brand New,3,False,17
"2022 NBA ALL-STARS MINIS 6"" LEBRON JAMES VARIANT BLUE - LA LAKERS - ULTRA RARE!",8500,,3,False,
Lebron James 2003 Upper Deck Phenomenal Beginning #3 MINT PSA 9 Rookie Card RC,2599,Pre-Owned,499,False,
Nike Lebron Witness 6 Men's Grey White DO9843-001 Lace Up Basketball Shoes,8995,Brand New,0,False,
"Funko Pop LA Lakers : LeBron James #52 White Uniform Vinyl ""MINT""",1799,Brand New,3,False,120
Authentic Nike Lebron James 2019 All Star Lakers Jersey 48,31900,Brand New,1260,False,
New ListingLebron James Mitchell & Ness Hardwood Classics Youth Medium Jersey Cavs #23 Tank,2995,Pre-Owned,495,False,
New Listing2010 LeBron James Miami Heat Adidas NBA Swingman Jersey Size 2XL Vintage,4800,Pre-Owned,1260,False,
New Listing2019 Panini Illusions LeBron James Astounding Orange Mint 9,2799,Pre-Owned,560,False,
Lebron James Cap Los Angeles Lakers Snapback Kobe Bryant Hat New Era Metal Crack,4888,Brand New,3,False,
New ListingLeBron James 2021-22 Donruss Optic  Splash Insert #11 Lakers,199,,105,False,
New Listing2014 Hoops LeBron James    #117 Cleveland Cavaliers,199,Pre-Owned,0,False,
Lebron James Los Angeles Lakers Fathead Style Wall Decal Sticker,2500,Brand New,0,False,18
2017-18 Optic All-Stars Fast Break Holo Prizm LeBron James PSA 10 Gem Mint QTY,5999,,560,False,
2021 Space Jam A New Legacy Tune/Goon Squad Rookies #RC-6 LeBron James,1499,,200,False,
2021-22 PANINI PRIZM Basketball - Rookies & Vets Base Cards #165-330 *You Pick*,139,Pre-Owned,0,False,
Ja Morant Prizm/Zion Williamson Prizm/Lebron James/RC/ BUYBACK Pack! PLEASE READ,1899,Pre-Owned,535,False,
2020-21 Donruss Optic Basketball With Rated Rookies Pick Your Card 1 - 200 Base,100,Pre-Owned,0,False,
New ListingLeBron James 2021-22 Panini Prizm Fearless #6 Los Angeles Lakers,498,,0,True,
Lebron James SP Inserts/ Premium Holo Lot- Rare- Early LeBron Prizm/ Optic Rare,3100,,600,False,
2020-21 Panini Prizm Fearless Fast Break #6 LeBron James,1500,,399,False,
LEBRON JAMES Retro St.Vincent/St.Mary High School 1999 Rookie Edition Card NM💎,379,,100,False,
2021-22 Panini Illusions Basketball **You Pick** Rookies & Vets. Free Ship,149,Pre-Owned,0,False,
2021-22 Panini Donruss Optic NBA Basketbal PULSAR PULSAR Cards You Pick/Choose!,138,,0,False,
LeBron James 2019-20 Panini Chronicles Prestige #75 NBA Basketball Card,336,Pre-Owned,0,False,
2021 Skybox Metal Universe Champions #1-150 Base + Parallels + Inserts U Pick,100,Pre-Owned,075,False,
2020-21 Panini Chronicles #152 LEBRON JAMES Luminance Los Angeles Lakers,169,Pre-Owned,0,False,
"2021-22 Panini Donruss Optic Basketball Base #1-150 You Pick *Buy 2, Get 2 FREE",99,Pre-Owned,025,False,
2003-04 Upper Deck Lebron James Box Set Rookie Card RC #18 PSA 9 Mint,3100,Pre-Owned,560,False,
2008 Topps Chrome #23 LeBron James 1957 Retro Variation,1799,Pre-Owned,400,False,
2018-19 Donruss Basketball 51-100 You Pick Pack Fresh Sharp Mint or Better ,124,,0,True,
2021-22 PANINI PRIZM Basketball - Vets Base Cards #1-165 *You Pick*,139,Pre-Owned,0,False,
2018-19 Panini Contenders Draft Picks Variation #41 LeBron James Away Jersey !!,239,Pre-Owned,057,False,
2021-22 Panini Illusions NBA Basketball Cards Pick From List/Complete Your Set,199,,0,False,
2020-21 Panini Select Basketball Base and RC #1-300 You Pick Complete Your Set,125,Pre-Owned,0,False,
2021-22 Donruss Optic Express Lane Insert Singles YOU CHOOSE + Buy More & Save!,99,Pre-Owned,0,False,
2015-16 Hoops #14 LeBron James,600,Pre-Owned,150,False,
2021-22 PANINI PRIZM Basketball Inserts Base & Parallels ***You Pick***,149,Pre-Owned,0,False,
2019-20 Panini Chronicles Basketball Base with Rookies Luka LeBron U Pick 1-270,99,Pre-Owned,0,False,
2020 Panini Select Concourse Red White Green Cracked Ice Prizm LeBron James #23,858,,499,False,
2019-20 NBA Hoops Premium Stock RED PRIZMS with Rookies You Pick the Card,140,Pre-Owned,0,False,
2021-22 Panini Illusions PYC You Pick Complete Your Set - Cunningham RC,100,Pre-Owned,087,False,
XL Graded Card Storage Box Case For 200+ BGS PSA Sports Trading Cards Waterproof,11300,Brand New,3,True,
2020-21 Panini Mosaic LeBron James National Pride Base No.247 Los Angeles Lakers,175,Pre-Owned,105,False,
2021-22 Donruss Optic Light it Up Base Insert Singles 1-15 - You Pick for Set,249,,149,False,
Lebron James 2019-20 Panini Mosaic #8 Los Angeles Lakers 🔥🔥🔥,298,Pre-Owned,0,False,
2013-14 Panini Elite LEBRON JAMES KOBE BRYANT #2 Face 2 Face PSA 9 Mint QTY,24999,,3,False,
2021-22 NBA Panini Sticker Singles #251 to #500 Create Own Lot,99,Pre-Owned,075,False,
2021-22 Panini Prizm Basketball Base Rookies & Vets You Pick - Complete Your Set,99,Pre-Owned,0,True,
2021-22 Panini Chronicles Basketball You Pick #1-235 ***You Pick*** Free Ship,149,Pre-Owned,0,False,
2018-19 Panini Player of the Day LeBron James #1,369,,499,False,
**You Pick** 2021 UD Upper Deck Goodwin Champions #1 - 100 Base Parallel Insert,99,Pre-Owned,100,True,
2020-21 NBA Hoops Basketball INSERTS with Holo and Winter Parallels You Pick,99,Pre-Owned,0,False,
New Listing2020-21 LeBron James Chronicles Silver Holo Panini Honors Lakers,999,Pre-Owned,199,False,
New Listing2004 Upper Deck Rivals Lebron James LeBron James #8,325,Pre-Owned,0,False,
Shop on eBay,2000,Brand New,,False,
New ListingLebron James 2007-08 Fleer Hot Prospects #5,600,Pre-Owned,0,False,
New Listing2020-21 Panini Ruby Wave Prizm #1 LeBron James Lakers Kobe Tribute PSA 9 MINT,24500,,395,False,
New ListingLEBRON JAMES 2004 Upper Deck Rivals #2,325,Pre-Owned,0,False,
New ListingLebron James 2004 Upper Deck Rivals #10 Cavaliers Heat Lakers,325,Pre-Owned,0,False,
2021 Goodwin Champions Base #50 LeBron James,149,,200,False,
